Review,Score,ThumbsUp,CreatedAt
Selalu kalau pesan kendaraan di daerahku susah sekali.. Mau pakai harga murah atau mahal tetep susah. Padahal Surabaya bagian barat dan bukan pinggiran/perbatasan.,2,1,2026-08-25 15:11:45
"pada mau pake hemat murah, mau nya enak cepet tapi kelakuan pada se enaknya, ngorder hemat mampir mampir lah, 2 tujuan lah, ga mau pake helem lah, ngasih bintang se enaknya, penumpang lebih lah... costumernya pada ga waras...",1,2,2026-08-20 01:19:39
lumayan memuaskan buat semua aplikasi kendaraan umum. saya Mengerti situasi setiap driver & masyarakat Indonesia. saya berharap jangan terlalu mahal ongkos pulang pergi. apalagi buat masyarakat merantau yang lagi kerja. Beri Masukkan : gimana kalau di tambahi Bemo ( Becak Motor ). Dengan sedikit selisih dana dari driver Go-Jek. Di mana buat driver Bemo membantu rejeki mereka. ok saya kasih bintang 5. tolong di tingkat kan admin👍🏻👍🏻,5,3,2026-08-19 23:03:00
"gojek makin susah untuk dapat driver , pesan driver sampai 30 menit baru dapat driver lalu belum nunggu driver nya paling cepat 5 menit , bukannya mempermudah orang untuk bekerja tapi malah mempersulit , tolong diperbaiki sistemnya",1,3,2026-08-19 08:03:53
"saya di sini sempat memilih gocar saya lihat harganya 5k ini kan murah ya bahkan lebih murah dari goride yang 7k jadi saya coba dong, karena lebih murah. sehabis saya selesai berkendara ternyata yang di tarik 20k tolong dong benarkan kenapa harga yang tercantum tidak sesuai dengan yang di tarik gojek nya tolong jangan sampai ada kejadian kayak gini lagi dan saya tidak ikhlas duit saya 15k ilang karena eror seperti itu",1,2,2026-08-25 07:06:41
"ada fasilitas gopay later.parah,telat 1 hari aja,,kena denda 50rb.dibanding paylater lain,,ini terbilang tidak worthed dan jelek banget ya.ud gitu,gak ada pengingat.kayak sengaja biarin aja tuh kita lupa,biar dia bisa makan denda nya.persoalan saya,lupa melulu.dan apes nya inget ya selalu pas tgl 2.jdi tagihan 100rb,kena denda 50rb.mending jgn pake dah.pengen gw hapus,,bingung cara nya.jelek banget.nyesel knp sya pake juga.masalahnya ud kena brp kali dan semua krn lupa.",1,3,2026-09-02 06:11:53
"makin nggk ngotak aplikasi ini sekarang, udah hampir 10 th saya make gojek dan baru belakangan ini ngeselin banget semenjak ada kebijakan 3000 untuk pembatalan, driver makin seenaknya, yang tadinya kita nunggu cuma 3 menit jadi 40 menit dan yang jarak awal Drive cuma sekitar 2 km jadi 13 km malah muter"" nggk jelas lokasi kita di lewatin gitu aja, hal ini saya alami yg ke 5 kali nya makanya saya buat ulasan ini, mohon di tinjau kembali hal yang seperti ini agar tdk merugikan orang bnyak, Trimksih",1,1,2026-09-05 11:52:23
"double order buat orderan lain menunggu lama. tidak bisa tepat waktu sesuai lokasi. sudah terlihat kalau sekarang driver kebanyakan pemalas. sangat merugikan pengguna, ganti ke apk sebelah",2,0,2026-09-06 08:35:14
"Hi gojek untuk kendala qris yang saya laporkan saat itu sudah diperbaiki terimakasih banyak yaa karena masalah cepat sekali di perbaiki ⭐⭐⭐⭐⭐, tapi sekarang gojek malah lama sekali kalau mencari driver bahkan bisa dapat driver lalu tiba tiba di cancel tanpa penjelasan yang jelas, kalau makanan juga begitu waktu tiba nya harusnya 1 jam lagi tapi bisa 2-3 jam baru sampai bukan karena resto rame/tidak, tapi karena tidak dapat driver. Tolong ya gojek 🙌🏻",3,5,2026-09-06 13:19:16
aplikasi rakus tamak lemot susah bgt dapat driver Padahal sinyal full chipset hp rata kanan susah bgt dapat orderan emang aplikasi nya aja yg tolol lemot.. mending pake aplikasi sebelah cepat dapat driver ga kaya aplikasi ini lemot dapat driver potongan aplikasi gede..,1,1,2026-09-02 19:28:32
"udah seminggu susah banget dapet driver selalu di kecok sama sistem , tolong perbaiki sistem nya ! masa nunggu driver doang sampe 30 menit , saya kerja tadinya ga telat jadi selalu telat.",2,0,2026-09-04 08:04:54
"gara gara ni apk, gw nunggu"" makanannya dateng, udah mesen sampe di ui menunggu makanan, sampe tokonya tutup pun pembelianku masih stuck, kecewa banget, mana ini pertama kali pakai lagi setelah 9 bulan ga pakai, biasa kalau lagi mesen toko tutup bakal di dikasihtau atauga ada notif, lha ini ngga satu jam nunggu, udah bayar pake debit, sampe tokonya tutup ternyata ga jalan, mana gada pemberitahuan, kecewa banget, mana gw udah langganan gojek plus nyesel sumpah, kecewa gw.., makin jelek.",1,3,2026-08-25 01:16:11
"aplikasi nya mohon jangan sering ngebuggg,, saya sudah batal kan sebelum dapat driverr kok tiba"" pas saya udah pesan di apk lain malah muncul driver nya tanpa ada peringatannn!",3,1,2026-08-24 07:02:17
"Pemesanan order paket hemat sangat2 lama, jika pelayanan lama lebih baik tidak usah ada paket hemat. tidak berguna sama sekali. BAD! delete aplikasi gojek",1,1,2026-09-06 20:55:30
Di bagian game bolak balok gak fair. giliran udah mau sampai ke skor tertinggi biar dapat gopay coin game nya macet..Di tungguin sampai sejam gak bisa dilanjut lagi..akhirnya ngilang dari awal... buang waktu dan tenaga,1,3,2026-08-19 21:31:24
kenapa sekarang kalau mesen gojek pake harga MURAH tu lama banget di acc. tapi giliran aktifin pencarian cepat behh langsung dah itungan detik. tolong dong jangan seperti itu. kalau kalian perlu biaya tambahan jangan mempersulit orderan harga normal (murah),4,1,2026-09-07 20:43:34
"kalo ada keluhan kita gabisaaaa nulis sendiri! ga memuaskan jdinya, apa yg mau kita keluhkan harus sesuai kata yg ada di gojek!! pesen makanan 1 jam lebih nunggu!! promo di sediain tapi pas di pakeee malah di jadiin alesann pesanan lama, lebih lamaa dari waktu yang di tentukan!!!! lain kali kamu mau ada cs biarin customer yg ngomong!! jangan di kasi kata kata di aplikasinya, gak sesuai!!!",1,1,2026-09-03 17:13:03
apk nya lumayan membantu dari segi tranfer tapi untuk transportasi kadang lama atau dapet nya jauh bahkan beberapa kali saya pernah kena marah atau di atur sama driver nya karna harga dan satu lagi sayang riwayatnya permanen jadi menuhin ruangan penuh,2,2,2026-08-27 07:02:20
"DULU, JAMANNYA ADA UBER. INI APLIKASI NOMOR 1 dari 3 Aplikasi. Setelah UBER TIDAK ADA, INI APLIKASI URUTAN PERTAMA YANG TERPELIT VOUCHER GO-RIDE. Saya Pengguna baru. Katanya ada Promo. Manaaaaaaaaa? Buat Driver Gojek... Selamat... ORDERAN ANDA AKAN SEPI. Karena, Hanya orderan tertentu saja yang ada PROMONYA. Itupun HARUS BELI VOUCHER DAHULU. Beli Voucher juga PERCUMA. Karena, HANYA TUJUAN TERTENTU.",1,1,2026-09-03 02:40:01
"tolong kepada mitra gojek, kalau memberi driver ke penumpang jangan yang jauh dari lokasi penumpang. saya sering kali terlambat ke sekolah hanya karna tidak dapat driver, kalau masalah tarif, memang kenapa kalau penumpang memilih tarif yang lebih kecil nominal nya (?). sudah memilih yang lebih besar nominal nya tetapi sama saja datang nya lama, ini gimana ya mitra gojek? tolong perubahan nya dong, jangan kaya gini terus.",4,2,2026-09-01 06:15:48
Saya pesan dari aplikasi ini dan membayar pakai gopay. saya belum naik kendaraam dan tiba tiba driver sudah menyelesaikan perjalanannya. saya rugi besar karena driver tidak bertanggung jawab ini! ini parah sekali namanya penipuan.,1,0,2026-09-06 00:31:03
"sdh lama pakai aplikasi gojek sering di pakai pula rutin ,penawaran penawan selalu ada tapi pas ngajuin gopay later atau gopay pinjam rijek,wkwkw,kocak gak kaya aplikasi sebelah begitu mudah untuk pelanggan setia,tapi its okelah.",1,2,2026-08-25 20:53:29
"Belakangan ini sering banget order gofood dibatalin. Udah gitu di cancel baru setelah 1 jam kemudian, awalnya bilang ditunda jadi lebih lama, eh udah nunggu lama malah dicancel. Tolong diperbaiki dong",2,1,2026-09-06 15:21:26
sudah nunggu 1 jam buat pesen makan. tapi tiba2 di cancel dan disuruh order lagi. parah banget. tolong di perbaiki kalau driver sibuk Carikan yang lain. sia2 waktu jam makan siang nya.,1,1,2026-08-27 14:09:47
"Mempermudah perjalanan, biaya juga banyak diskonnya hihi sering"" min kasih diskonnya untuk smua masyarakat yg suka naik transum...",5,2,2026-08-20 06:04:53
sudah nunggu 1 jam setengah masa gk ada driver yang bener udah ganti 3 driver . posisi dekat tapi malah menjauh .. kalau cansel dri pelanggan harus bayar 3rb padahal saya udah nunggu lama banget,1,1,2026-08-22 18:31:54
"Tolong Driver nya dikondisikan ya pihak GOJEK. terutama GOCAR sudah dapat driver tapi bisa 1 jam lebih tidak jemput, posisi driver tidak gerak dan tidak dicancel oleh driver nya. MERESAHKAN!",1,2,2026-08-29 10:22:45
"gabisa buat cencel gofoodd, saya order gofood dgn estimasi tiba 40-50 mnt, saya uda prepare pesen 2jam sblm keberangkatan ke kereta biar bisa di bawa di perjalanan. malah ada kendala lain2 sampe di last call kereta jg blm dateng, mau cancel sendiri gabisa, driver gabisa, resto ga bisa, ga jelas bgt",1,2,2026-08-19 11:21:48
"pembelian go food tgl 4 September 2026, mulai jam 10an sampai jam 5 sore. sudah transaksi 4 kali tapi semua gak bisa, status batalin oleh sistem. karena driver lagi ramai pembeli. nunggu sudah lama tp gak pernah berhasil. apa karna saya pakai pengantaran murah mangkanya gak bisa",1,0,2026-09-04 17:02:22
"applikasi ga jelas. pesan makanan via gofood nunggu sampai 1 jam ternyata belum disiapkan resto krn belum ada driver. dicancel dr akun pembeli ga bisa, cancel dr akun resto jg berimbas resto bakal kena tutup.",1,0,2026-09-05 13:15:56
"L app! ditanya mau mamam apaaaa? makan resto????? udh ketik menu knp gak MUNCUL MENUNYA AJAAA! NOT HELPING AT ALL! GRAB NOH! LANGSUNG ADA SUGGESTIONS TO MENU! semakin kesini makin jelek. tidak ada peningkatan baik, malah SENGAJA dibuat jelek. This app already lost the soul. Awal2 milih ini app karena embel2 punya anak bangsa. Aku dh nyerah sama app ini. ganti ke ijo sebelah.",1,4,2026-09-01 19:02:10
aplikasi bagus cocok tidak iklan (bebas iklan) dan mudah digunakan jaringan juga stabil Pokoknya cocok deh!🙏🏻,5,0,2026-09-05 21:20:22
"eh tolong donk untuk pembayaran bisa di ganti gopay coinku ada 2.200 an ilang gr gr salah milih terus juga pernah gopay ku kepake padahal ada cash kurang suka kalo gabisa diganti, kasian juga kalo harus cancel booking 😢",1,2,2026-08-26 07:20:46
"Petanya error, tdk sesuai orderan, seharusnya fitur downpayment diaktifkan spy cicilan ringan di fitur gopay letter, sulit utk melakukan pembayaran paylater, Supir gocarnya kebanyakan minta cancel kalau orderan sdh masuk, spt tdk niat kerja aja",1,5,2026-08-21 11:23:58
Tolong dong perbaiki aplikasinya mengenai update pencarian driver yg pasti soalnya saya udh menunggu lama karna mau berangkat kerja smpe telat tpi ga ada kepastian sma drivernya jdinya mesti di cancel-cancel trus,2,3,2026-08-31 07:54:00
"rutenya tolong diperbaiki lagi, khususnya pake Mobil.Saya telat mulu kalo driver nya ngikutin rute dari Gojek dan tolong nih untuk layanannya setiap saya pesen gocar mereka selalu tidak jalan dan tidak ada chat apa-apa. padahal saya udah pake harga tinggi + prioritas tapi masih aja ketemu layanan Ghoib",1,2,2026-08-21 16:59:42
kenapa tarif gocar belakangan ini semakin mahal aja? biasanya mahal kalau hujan saja...tapi ini tarif nya naik gila²an kalo begini terus yakin deh banyak yg akan pindah ke aplikasi lainnya,1,2,2026-08-19 11:01:50
"gara-gara sistem gojek bermasalah, saya jadi terpesan banyak makanan, dan yang paling menyebalkan adalah pesanan tidak bisa dibatalkan padahal belum di konfirmasi resto!",1,2,2026-08-23 22:28:59
"Apakah memang bgini y sdh hampir 4'hari berturut-turut hnya tuk pembaruan aplikasi GO-JEK ⁉️ Tidak Whortit lah seperti itu, IT nya lol atau bagaimana y‼️⁉️ Terimakasih smoga saran 1'bln cukup tuk pembaharuan aplikasi GO-JEK 🙏🏻",2,0,2026-09-04 05:11:38
"Tolong kembalikan opsi pengiriman go food yang sebelumnya... Yang sekarang hanya ada yang biasa dan yang hemat 1 rp, untuk yang biasa mahal banget walaupun udah pake plus sedangkan untuk hemat sangat sulit mendapatkan driver bahkan berkali-kali terjadi pembatalan dari sistem karna sangat lama tidak mendapatkan driver. GAK BALANCE BGT !!!",1,27,2026-08-23 12:59:06
"Order gofood beli ayam yang porsi jumbo tapi orderan salah malah yang kecil. kasih laporan udah foto. diminta foto lagi, lah dikira orang punya waktu lagi buat nunggu!? ya jelas dah dimakan lah,dikira orang kepepet waktu kerja ada waktu kah buat nunggu order lagi? aplikasi GAJE",1,3,2026-08-30 07:30:25
"Sekarang2 kebanyakan gangguannya nungguin drivernya lama terus gopaynya keptong pdahal cancel udah gtuh drivernya pada kagak btuh duit sombong2 kalo jauh trus pake promo dia engga bakalan nyaut padahal tinggal bilang engga bisa ini kita di diemin malesin banget . mendingan pake aplikasi sebelah , mau promo mau engga mau jauh mau deket tetep di bales dan kasih kepastian . pkknya nyesel banget isi gopay engga k pake drivernya iyuh",1,2,2026-08-28 05:55:12
"Benci bgt lama lama saya pakai ini GOFOOD Murah, sering sekali kesusahan dapat driver sampai batal otomatis, gila ni aplikasi ngasih fitur murah tapi malah nyusahin costumer",3,0,2026-08-17 21:10:21
"kenapa tidak bisa masuk di aplikasi game go cat dan butuh loading lama padahal dirumah pakai wifi,mohon diperbaiki bug nya 👏",1,2,2026-09-01 05:47:08
"Kalau ga niat kasih promo mending gausah deh. Beli gofood dapat promo lumayan banyak, tapi sampai waktu yg seharusnya makanan saya sudah harus datang malah masih ga nemuin driver dan dikasihnya opsi cancel atau menunggu dengan ketidak pastian. Saya udah nunggu sejam cmn buat dicancel kah? Saran aja, kalau emg ga niat ngasih promo mending gausah dikasih drpd udah nunggu lama sambil nahan lapar tp endingnya zonk.",1,0,2026-09-06 12:16:11
"tolong dong benerin sistemnya, udah berkali kali kejadian susah dapet driver, harus nunggu Sampek batas waktu pencarian driver habis baru muncul pembatalan, dan keseringan harus nunggu bener bener sampai waktu habis sampai akhirnya di batalin system tolong dong, kasih opsi kekita jika misal 30 menit gak dapet driver, kita bisa batalin, udah mah nunggu lama lama endingnya dibatalin system, tau orang kelaparan gak sih, ngerugiin customer banget, makin kesini makin gak jelas nih aplikasi",1,25,2026-09-04 23:12:47
"saya coba main ""laris mownis"" selalu error dengan tulisan. ""Gagal mengambil file: STG00004/background"" sudah reinstall, tetapi masih sama.",2,2,2026-08-22 14:35:03
